The SAS System                                                                     14:43 Thursday, December 11, 2008   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
state             3942866      27.5980725      95.7642839       1.0000000      56.0000000
age               3942866      38.8324184      74.5013958      18.0000000      68.0000000
pob               3942866      55.3586013     506.5368597       1.0000000     555.0000000
imm               3942866       0.0990676       1.8188592               0       1.0000000
hispanic          3942866       0.0865494       1.7118339               0       1.0000000
english           3942866       0.2465497       4.2861515               0       4.0000000
weeks             3942866      36.2377536     128.4749687               0      52.0000000
msa               3942866         5695.45        19032.79      40.0000000         9999.00
wagesal           3942866        17284.84       131781.06               0       197927.00
selfinc           3942866         1407.41        53675.16       -19998.00       215195.00
educ              3942866      12.7007352      18.5967784               0      20.0000000
eclass            3942866       2.4967743       6.3149387       1.0000000       4.0000000
dropout           3942866       0.2014339       2.4417926               0       1.0000000
somecoll          3942866       0.2751848       2.7190231               0       1.0000000
collplus          3942866       0.2115117       2.4862906               0       1.0000000
advanced          3942866       0.0732193       1.5859453               0       1.0000000
exp               3942866      19.0403037      74.9317102       1.0000000      45.0000000
xclass            3942866       4.2161605      14.9061319       1.0000000       9.0000000
annhrs            3942866         1493.20         6178.19               0         5148.00
wage              2970962      12.4091655      77.2034407       2.5125000     167.5000000
owage             2970962      13.0032747     901.7974154     0.000194250       195516.00
wage2             2815690      12.2546843      74.7651966       2.5125000     167.5000000
logwage2          2815690       2.2559752       4.1078868       0.9212783       5.1209834
female            3942866       0.4981687       3.0440666               0       1.0000000
c                 3942866       1.0000000               0       1.0000000       1.0000000
inschool          3942866       0.1005014       1.8305152               0       1.0000000
exp2              3942866       5.1401369      33.7858566       0.0100000      20.2500000
exp3              3942866      16.3745289     142.0397684     0.000999999      91.1250000
ic                3942866       0.5498055      37.7306622      -1.0000000      38.0000000
yrsinus           3942866       1.4657536      34.2333824               0      45.0000000
pre_exp           3942866       0.4068147      23.2394193     -27.5000000      43.5000000
pre_exp1          3942866       0.0198640       0.8494997               0       1.0000000
yrsinus2          3942866      33.7657872         1065.96               0         2025.00
euro              3942866       0.0222519       0.8980156               0       1.0000000
hi_asian          3942866       0.0108986       0.6321099               0       1.0000000
mid_asian         3942866       0.0101563       0.6104337               0       1.0000000
mex               3942866       0.0228380       0.9094931               0       1.0000000
euro_ed           3942866       0.2841465      11.9562834               0      20.0000000
euro_coll         3942866       0.0057156       0.4589588               0       1.0000000
hi_asian_ed       3942866       0.1554611       9.2984170               0      20.0000000
hi_asian_coll     3942866       0.0052165       0.4385712               0       1.0000000
mid_asian_ed      3942866       0.1294680       8.1975758               0      20.0000000
mid_asian_coll    3942866       0.0034608       0.3575358               0       1.0000000
mex_ed            3942866       0.1765123       8.1077981               0      20.0000000
mex_coll          3942866     0.000671481       0.1577095               0       1.0000000
euro_yrs          3942866       0.5002189      23.4669699               0      45.0000000
hi_asian_yrs      3942866       0.1237623       9.0221531               0      45.0000000
mid_asian_yrs     3942866       0.1199901       8.9661774               0      45.0000000
mex_yrs           3942866       0.2954994      14.6272039               0      45.0000000
euro_yrs2         3942866      15.1075202     823.6624980               0         2025.00
hi_asian_yrs2     3942866       2.2113876     224.1541131               0         2025.00
mid_asian_yrs2    3942866       2.1833027     235.9767561               0         2025.00
mex_yrs2          3942866       5.8596150     403.8851445               0         2025.00
-----------------------------------------------------------------------------------------
The SAS System                                                                     14:43 Thursday, December 11, 2008   2

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
imm_ed            3942866       1.1191967      22.4008580               0      20.0000000
imm_coll          3942866       0.0207570       0.8679893               0       1.0000000
asian             3942866       0.0292562       1.0260021               0       1.0000000
black             3942866       0.1157581       1.9478175               0       1.0000000
asian_ed          3942866       0.3876194      14.2209360               0      20.0000000
black_ed          3942866       1.3881753      24.0488138               0      20.0000000
