The SAS System                                                                       11:29 Sunday, December 28, 2008   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
state             2815690      27.6779303      96.0434429       1.0000000      56.0000000
age               2815690      37.5943490      70.5053400      18.0000000      68.0000000
pob               2815690      54.2452111     499.1603378       1.0000000     555.0000000
imm               2815690       0.0940302       1.7859464               0       1.0000000
hispanic          2815690       0.0836672       1.6942685               0       1.0000000
english           2815690       0.2244377       4.0420389               0       4.0000000
msa               2815690         5619.75        19050.65      40.0000000         9999.00
ind               2815690     573.9324425         1687.24      10.0000000     960.0000000
educ              2815690      12.9306973      17.4330380               0      20.0000000
eclass            2815690       2.5728345       6.2106757       1.0000000       4.0000000
dropout           2815690       0.1685459       2.2906365               0       1.0000000
somecoll          2815690       0.2929667       2.7848834               0       1.0000000
collplus          2815690       0.2242068       2.5519688               0       1.0000000
advanced          2815690       0.0758171       1.6197217               0       1.0000000
exp               2815690      17.6172259      71.0150783       1.0000000      45.0000000
xclass            2815690       3.9361164      14.1482666       1.0000000       9.0000000
annhrs            2815690         1830.73         4688.02       1.0000000         5148.00
owage             2815690      12.7954452     920.3507120     0.000443262       195516.00
logwage2          2815690       2.2559752       4.1078868       0.9212783       5.1209834
female            2815690       0.4680304       3.0532221               0       1.0000000
c                 2815690       1.0000000               0       1.0000000       1.0000000
inschool          2815690       0.1049592       1.8754683               0       1.0000000
exp2              2815690       4.4505960      30.5013326       0.0100000      20.2500000
exp3              2815690      13.3999587     123.8579270     0.000999999      91.1250000
ic                2815690       0.4402303      36.5267140      -1.0000000      38.0000000
yrsinus           2815690       1.4001708      33.2395474               0      45.0000000
pre_exp           2815690       0.3108045      21.8892553     -27.5000000      43.5000000
pre_exp1          2815690       0.0206646       0.8704759               0       1.0000000
yrsinus2          2815690      31.4694646         1008.46               0         2025.00
euro              2815690       0.0206629       0.8704411               0       1.0000000
hi_asian          2815690       0.0095438       0.5949165               0       1.0000000
mid_asian         2815690       0.0103915       0.6205105               0       1.0000000
mex               2815690       0.0220547       0.8986402               0       1.0000000
euro_ed           2815690       0.2679428      11.7415451               0      20.0000000
euro_coll         2815690       0.0057219       0.4615322               0       1.0000000
hi_asian_ed       2815690       0.1399275       8.9641962               0      20.0000000
hi_asian_coll     2815690       0.0050355       0.4331136               0       1.0000000
