The SAS System                                                                     14:44 Thursday, December 11, 2008   1

Obs    _NAME_         COL1       COL2       COL3       COL4       COL5

  1    emp            0.81       0.66       0.80       0.86       0.90
  2    annhrs      1493.20    1064.08    1469.82    1612.78    1780.78
  3    cannhrs     1842.78    1607.75    1832.18    1874.47    1982.16
  4    ft             0.67       0.52       0.67       0.72       0.78
  5    educ          12.70       8.68      12.00      13.25      16.84
  6    age           38.83      37.61      38.89      38.24      40.68
  7    x1             0.30       0.27       0.28       0.34       0.31
  8    x2             0.29       0.24       0.28       0.32       0.34
  9    x3             0.19       0.19       0.20       0.19       0.19
 10    x4             0.21       0.31       0.24       0.15       0.16
 11    black          0.12       0.18       0.12       0.11       0.06
 12    hispanic       0.09       0.21       0.07       0.06       0.03
 13    rmsa0          0.21       0.24       0.25       0.19       0.14
 14    rmsa1          0.14       0.13       0.15       0.14       0.13
 15    q1             0.19       0.33       0.21       0.16       0.06
 16    q2             0.20       0.23       0.22       0.20       0.12
 17    q3             0.19       0.19       0.20       0.21       0.17
 18    q4             0.21       0.16       0.20       0.22       0.25
 19    q5             0.21       0.09       0.16       0.21       0.40
 20    q1c            0.18       0.31       0.21       0.16       0.06
 21    q2c            0.19       0.23       0.21       0.20       0.12
 22    q3c            0.19       0.19       0.20       0.21       0.17
 23    q4c            0.22       0.17       0.21       0.22       0.25
 24    q5c            0.22       0.10       0.17       0.21       0.39
 25    imm            0.10       0.19       0.06       0.07       0.10
 26    female         0.50       0.47       0.53       0.52       0.45
 27    wage2         12.25       8.82      10.24      11.97      18.03
 28    logwage2       2.26       1.92       2.12       2.28       2.67
