The SAS System                                                                     17:18 Saturday, December 27, 2008   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
state             4607709      27.5619591      94.9943590       1.0000000      56.0000000
msa               4607709         5585.22        18636.71      40.0000000         9999.00
age               4607709      40.4613206      72.2812879      18.0000000      68.0000000
black             4607709       0.1164681       1.9190270               0       1.0000000
grade             4607709      10.1148824      16.9920908       1.0000000      16.0000000
educ              4607709      13.0305573      17.9656527               0      20.0000000
english           1178489       1.8197902       5.0736519       1.0000000       4.0000000
pob               4607709      65.1634142     547.1553811       1.0000000     528.0000000
weeks             4607709      37.1128017     125.4931382               0      52.0000000
wagesal           4607709        26254.09       221454.24               0       385000.00
selfinc           4607709         2030.38        89576.52       -10000.00       355000.00
imm               4607709       0.1432789       2.0959324               0       1.0000000
female            4607709       0.4998781       2.9911377               0       1.0000000
hispanic          4607709       0.1212668       1.9528369               0       1.0000000
annhrs            4607709         1545.74         6094.52               0         5148.00
emp               4607709       0.8106695       2.3436819               0       1.0000000
dropout           4607709       0.1755129       2.2756888               0       1.0000000
somecoll          4607709       0.2933906       2.7238251               0       1.0000000
collplus          4607709       0.2498068       2.5897338               0       1.0000000
eclass            4607709       2.6174913       6.2366055       1.0000000       4.0000000
c                 4607709       1.0000000               0       1.0000000       1.0000000
advanced          4607709       0.0881415       1.6959790               0       1.0000000
inschool          4607709       0.0882385       1.6968213               0       1.0000000
exp               4607709      20.4018508      71.5919990       1.0000000      45.0000000
xclass            4607709       4.4874040      14.2505824       1.0000000       9.0000000
wage              3468467      18.3482124     130.1991103       3.8624992     257.5000000
wage2             3325320      18.1771579     128.0231600       3.8624992     257.5000000
exp2              4607709       5.5945289      32.0846526       0.0100000      20.2500000
exp3              4607709      17.5954934     134.1357060     0.000999999      91.1250000
logwage2          3325320       2.6154736       4.1509372       1.3513145       5.5510178
owage             3468467      19.3923177         1243.82     0.000961538       320000.00
ic                4607709       0.9196228      39.8144767      -1.0000000      38.0000000
euro              4607709       0.0237204       0.9103634               0       1.0000000
hi_asian          4607709       0.0157728       0.7453645               0       1.0000000
mid_asian         4607709       0.0157592       0.7450485               0       1.0000000
mex               4607709       0.0440690       1.2278525               0       1.0000000
yrsinus           4607709       2.2393976      41.7062083               0      72.0000000
pre_exp           4607709       0.5360484      26.7753056     -28.0000000      45.0000000
pre_exp1          4607709       0.0283389       0.9926946               0       1.0000000
yrsinus2          4607709      53.6185175         1361.30               0         5184.00
euro_ed           4607709       0.3271809      12.9147594               0      20.0000000
