30kThe SAS System                                                                     17:32 Saturday, December 27, 2008   1

Obs    _NAME_         COL1       COL2       COL3       COL4       COL5

  1    emp            0.81       0.66       0.79       0.85       0.88
  2    annhrs      1545.74    1093.79    1502.26    1641.83    1799.37
  3    cannhrs     1906.74    1652.85    1892.10    1925.07    2034.23
  4    ft             0.68       0.52       0.67       0.71       0.77
  5    educ          13.03       8.89      12.00      13.24      16.86
  6    age           40.46      36.78      40.64      40.69      42.59
  7    x1             0.25       0.28       0.22       0.26       0.26
  8    x2             0.27       0.23       0.26       0.28       0.29
  9    x3             0.26       0.23       0.26       0.26       0.27
 10    x4             0.23       0.27       0.26       0.20       0.18
 11    black          0.12       0.16       0.13       0.12       0.07
 12    hispanic       0.12       0.33       0.10       0.08       0.05
 13    rmsa0          0.19       0.21       0.25       0.19       0.12
 14    rmsa1          0.14       0.14       0.15       0.15       0.13
 15    q1             0.17       0.32       0.20       0.15       0.06
 16    q2             0.19       0.23       0.21       0.20       0.12
 17    q3             0.19       0.19       0.20       0.21       0.17
 18    q4             0.22       0.16       0.21       0.23       0.25
 19    q5             0.23       0.09       0.18       0.22       0.40
 20    q1c            0.16       0.31       0.20       0.15       0.06
 21    q2c            0.18       0.23       0.21       0.19       0.12
 22    q3c            0.19       0.19       0.20       0.21       0.17
 23    q4c            0.22       0.17       0.21       0.23       0.25
 24    q5c            0.24       0.10       0.18       0.22       0.40
 25    imm            0.14       0.31       0.10       0.09       0.14
 26    female         0.50       0.46       0.50       0.53       0.49
 27    wage2         18.18      12.28      14.40      16.94      26.85
 28    logwage2       2.62       2.22       2.44       2.61       3.02
The SAS System                                                                     17:32 Saturday, December 27, 2008   2

  Obs    rmsa        count      imm        mex      dropout       hs      somecoll    college    logwage2

    1       .    164898910    0.14328    0.04407    0.17551    0.28129     0.29339    0.16167     2.61547
  226       0     31776994    0.04139    0.02045    0.19331    0.36131     0.28548    0.10601     2.43994
  227       1     23762607    0.08126    0.03374    0.16454    0.30098     0.30670    0.14805     2.54409
  228      80       398903    0.03679    0.00097    0.11500    0.34186     0.29382    0.17090     2.61906
  229     160       455698    0.05950    0.00104    0.10800    0.27638     0.30726    0.17913     2.67531
  230     200       426762    0.10164    0.05972    0.15893    0.25293     0.31824    0.16075     2.53882
  231     240       367848    0.06542    0.00180    0.12420    0.37654     0.26522    0.14975     2.64198
  232     440       371503    0.07966    0.00340    0.08774    0.24248     0.32275    0.20207     2.75839
  233     520      2612469    0.13103    0.03767    0.15941    0.24591     0.28251    0.21225     2.70286
  234     600       267514    0.03924    0.00461    0.18628    0.30699     0.29773    0.13428     2.50973
  235     640       818297    0.15644    0.08711    0.16427    0.20589     0.29173    0.22704     2.63647
  236     680       360988    0.22511    0.17211    0.31390    0.25586     0.30123    0.08771     2.48676
  237     720      1491978    0.07283    0.00239    0.14034    0.26881     0.28159    0.18395     2.73735
  238     760       350845    0.03765    0.00317    0.16285    0.31738     0.27815    0.15657     2.54587
  239     875       815145    0.32828    0.02040    0.14477    0.26433     0.23846    0.22943     2.86439
  240    1000       589447    0.02918    0.00930    0.17125    0.27796     0.30274    0.16887     2.59447
  241    1080       255632    0.06769    0.03371    0.13781    0.24996     0.35859    0.17926     2.55543
  242    1120      2061280    0.18304    0.00239    0.10493    0.22351     0.24693    0.24741     2.85666
  243    1160       192801    0.17462    0.01046    0.17259    0.26477     0.25911    0.17862     2.82307
  244    1280       664686    0.04785    0.00089    0.11074    0.30583     0.32686    0.15478     2.61432
  245    1440       345650    0.04410    0.01073    0.17033    0.28472     0.29973    0.16271     2.51375
  246    1520       925276    0.08855    0.03138    0.17713    0.25054     0.30232    0.19616     2.63722
  247    1560       258880    0.03526    0.00516    0.18527    0.29253     0.31247    0.14219     2.53939
  248    1600      4919670    0.22470    0.09622    0.17697    0.23355     0.27938    0.19796     2.75539
  249    1640       942727    0.03457    0.00269    0.14438    0.31179     0.28012    0.17296     2.66617
  250    1680      1302933    0.05656    0.00264    0.14093    0.30879     0.29851    0.16133     2.63630
  251    1720       308936    0.08020    0.01963    0.09528    0.23667     0.36560    0.19276     2.58318
  252    1760       328745    0.04643    0.00907    0.14495    0.26071     0.30060    0.19016     2.57137
  253    1840       950184    0.05827    0.00576    0.13293    0.29413     0.28425    0.19558     2.65431
  254    1920      2228282    0.21695    0.12687    0.22128    0.21636     0.27487    0.19871     2.66630
  255    2000       547303    0.03111    0.00213    0.13690    0.31787     0.31714    0.14198     2.60974
  256    2020       244484    0.07457    0.01206    0.16217    0.30177     0.34503    0.12502     2.45945
  257    2080      1318276    0.13515    0.06799    0.14653    0.21317     0.30206    0.22968     2.71567
  258    2120       227678    0.06651    0.01758    0.11160    0.28466     0.30513    0.21514     2.63355
  259    2160      2605367    0.08826    0.00788    0.15135    0.28596     0.32405    0.15276     2.74951
  260    2320       372661    0.36498    0.33306    0.30626    0.24370     0.29479    0.10572     2.35140
  261    2640       296639    0.02361    0.00124    0.14327    0.32859     0.36400    0.10957     2.61490
  262    2680       958014    0.31754    0.00893    0.16154    0.26223     0.31440    0.17336     2.63724
  263    2700       237750    0.11735    0.02955    0.17329    0.31144     0.30080    0.13978     2.52621
  264    2760       267400    0.04450    0.01272    0.13808    0.33689     0.31911    0.13347     2.59160
  265    2800      1014635    0.15281    0.08772    0.19873    0.24147     0.31701    0.17154     2.61548
  266    2840       509881    0.28667    0.20340    0.33722    0.21099     0.29385    0.10926     2.45936
  267    2960       367065    0.06249    0.02600    0.15059    0.37501     0.29305    0.11539     2.63401
  268    3000       658734    0.06386    0.02298    0.13925    0.30727     0.32966    0.15766     2.63088
  269    3120       747744    0.07292    0.03514    0.18540    0.29718     0.28835    0.16086     2.56188
  270    3160       571911    0.04724    0.01382    0.20830    0.29996     0.28232    0.14136     2.54337
  271    3240       364927    0.04036    0.00283    0.13536    0.38964     0.24002    0.15152     2.60610
  272    3280       672977    0.12069    0.00194    0.13034    0.27646     0.27360    0.19323     2.81211
  273    3320       522330    0.23864    0.00244    0.10273    0.27599     0.32956    0.20142     2.62223
  274    3360      2536350    0.27021    0.13525    0.24951    0.22406     0.26670    0.17738     2.63337
  275    3480       955980    0.04291    0.01229    0.14730    0.31556     0.27006    0.17915     2.64708
  276    3560       256314    0.01798    0.00277    0.17585    0.22239     0.30919    0.19975     2.53348
  277    3600       663170    0.06923    0.00266    0.14726    0.29728     0.32310    0.16028     2.58132
  278    3640       381025    0.47448    0.01469    0.25364    0.26441     0.21342    0.17932     2.65745
  279    3660       264228    0.01375    0.00153    0.19041    0.35126     0.27510    0.12332     2.44842
  280    3720       259219    0.04046    0.00863    0.12604    0.29769     0.34383    0.15244     2.58875
The SAS System                                                                     17:32 Saturday, December 27, 2008   3

  Obs    rmsa     count       imm        mex      dropout       hs      somecoll    college    logwage2

  281    3760     995060    0.06336    0.02135    0.12358    0.27033     0.31525    0.19391     2.65421
  282    3840     409338    0.02605    0.00306    0.17094    0.31374     0.27336    0.15450     2.52349
  283    3980     269532    0.08278    0.03345    0.23089    0.33757     0.27658    0.10699     2.44996
  284    4000     255578    0.04117    0.00240    0.19638    0.37542     0.21376    0.14594     2.58730
  285    4040     255180    0.05294    0.00300    0.09519    0.24450     0.37360    0.17084     2.64915
  286    4120     947055    0.21638    0.10645    0.21296    0.29822     0.33077    0.10699     2.60348
  287    4280     265117    0.04561    0.01202    0.17616    0.26694     0.28824    0.16136     2.52037
  288    4400     354115    0.02894    0.00725    0.14054    0.30915     0.30259    0.16672     2.52784
  289    4480    5640434    0.48344    0.21850    0.30481    0.18489     0.26799    0.15983     2.62519
  290    4520     656091    0.03469    0.00599    0.15758    0.31639     0.30023    0.14175     2.58180
  291    4720     263178    0.07625    0.01561    0.07380    0.20183     0.31016    0.25146     2.69921
  292    4880     289993    0.41894    0.39764    0.46936    0.21767     0.19465    0.07924     2.20762
