The SAS System                                                                       15:59 Thursday, January 1, 2009   1

Obs    order    year    native    male       count         educ       exp      dropout    collplus      emp       rwage

  1       1     1980       .        .      31383625.0    12.2659    19.2629    0.26432     0.16563    0.77220    21.3230
  2       2     1990       .        .     146145690.0    12.7007    19.0403    0.20143     0.21151    0.81030    20.4871
  3       3     2000       .        .     164898910.0    13.0306    20.4019    0.17551     0.24981    0.81067    22.6178
  4       4     2005       .        .     174870327.0    13.2603    21.3960    0.14048     0.27608    0.81070    22.2390
  5       5     1980       .        1      15365790.0    12.4338    18.7900    0.26828     0.19816    0.89950    25.0267
  6       6     1990       .        1      73340483.0    12.7496    18.6251    0.21151     0.23016    0.88281    23.5222
  7       7     2000       .        1      82469557.0    12.9954    20.1930    0.19086     0.25398    0.86765    25.4637
  8       8     2005       .        1      87249936.0    13.1844    21.1761    0.15484     0.27255    0.86913    24.6459
  9       9     1980       .        0      16017835.0    12.1048    19.7166    0.26052     0.13442    0.65009    16.7756
 10      10     1990       .        0      72805207.0    12.6515    19.4585    0.19128     0.19273    0.73725    17.0372
 11      11     2000       .        0      82429353.0    13.0657    20.6108    0.16015     0.24563    0.75366    19.4768
 12      12     2005       .        0      87620391.0    13.3358    21.6149    0.12618     0.27959    0.75253    19.5754
 13      13     1980       1        1      14312570.0    12.4954    18.7705    0.25988     0.19611    0.90128    25.0664
 14      14     1990       1        1      65972962.0    12.9011    18.6983    0.19109     0.22972    0.88480    23.7239
 15      15     2000       1        1      70393838.0    13.2342    20.4337    0.15594     0.25559    0.86810    25.8592
 16      16     2005       1        1      72527450.5    13.4164    21.4448    0.12029     0.27428    0.86169    25.3463
 17      17     1980       1        0      14857690.0    12.1916    19.6487    0.25044     0.13408    0.65400    16.7484
 18      18     1990       1        0      65694418.0    12.8089    19.4142    0.17154     0.19366    0.74672    17.0462
 19      19     2000       1        0      70878536.0    13.2913    20.7138    0.12869     0.24817    0.77092    19.5050
 20      20     2005       1        0      73832431.5    13.5409    21.7549    0.09667     0.28151    0.76754    19.7366
 21      21     1980       0        1       1053220.0    11.5965    19.0543    0.38240     0.22589    0.87530    24.4861
 22      22     1990       0        1       7367521.0    11.3931    17.9696    0.39440     0.23405    0.86505    21.7277
 23      23     2000       0        1      12075719.0    11.6036    18.7897    0.39445     0.24464    0.86506    23.2144
 24      24     2005       0        1      14722485.5    12.0419    19.8523    0.32506     0.26404    0.90579    21.4506
 25      25     1980       0        0       1160145.0    10.9932    20.5873    0.38962     0.13876    0.59999    17.1540
 26      26     1990       0        0       7110789.0    11.1981    19.8679    0.37372     0.18411    0.64968    16.9420
 27      27     2000       0        0      11550817.0    11.6813    19.9786    0.35322     0.23005    0.64773    19.2697
 28      28     2005       0        0      13787959.5    12.2375    20.8655    0.28422     0.26926    0.67210    18.5781
The SAS System                                                                       15:59 Thursday, January 1, 2009   2

Obs   native   male     emp       educ      exp        count      year   rlogwage    rwage       v        vres

  1      .       .    0.77220   12.2659   19.2629    31383625.0   1980    2.82160   21.3230   0.39637   0.28134
  2      .       .    0.81030   12.7007   19.0403   146145690.0   1990    2.76986   20.4871   0.45069   0.31187
  3      .       .    0.81067   13.0306   20.4019   164898910.0   2000    2.83404   22.6178   0.47421   0.33989
  4      .       .    0.81070   13.2603   21.3960   174870327.0   2005    2.81369   22.2390   0.51052   0.34903
  5      .       1    0.89950   12.4338   18.7900    15365790.0   1980    2.99906   25.0267   0.38976   0.28998
  6      .       1    0.88281   12.7496   18.6251    73340483.0   1990    2.90499   23.5222   0.46923   0.32484
  7      .       1    0.86765   12.9954   20.1930    82469557.0   2000    2.94159   25.4637   0.50093   0.35849
  8      .       1    0.86913   13.1844   21.1761    87249936.0   2005    2.90796   24.6459   0.53208   0.35927
  9      .       0    0.65009   12.1048   19.7166    16017835.0   1980    2.60372   16.7756   0.31836   0.27074
 10      .       0    0.73725   12.6515   19.4585    72805207.0   1990    2.61627   17.0372   0.38528   0.29713
 11      .       0    0.75366   13.0657   20.6108    82429353.0   2000    2.71535   19.4768   0.41788   0.31937
 12      .       0    0.75253   13.3358   21.6149    87620391.0   2005    2.70936   19.5754   0.46593   0.33769
 13      1       1    0.90128   12.4954   18.7705    14312570.0   1980    3.00373   25.0664   0.38545   0.28767
 14      1       1    0.88480   12.9011   18.6983    65972962.0   1990    2.91887   23.7239   0.46192   0.32234
