The SAS System                                                                          17:16 Friday, March 22, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
state             2330287      28.1477638      21.1289254       1.0000000      56.0000000
age               2330287      36.9316532      16.9156394      18.0000000      68.0000000
hispanic          2330287       0.0598282       0.3245817               0       1.0000000
pob               2330287      69.8364854     207.8153460       1.0000000     997.0000000
english           2330287       0.1743317       0.7924663               0       4.0000000
ind               2330287     531.1859048     389.3403833               0     991.0000000
educ              2330287      12.5201334       4.0809996               0      20.0000000
imm               2330287       0.0678139       0.3440946               0       1.0000000
msa               2330287         5693.95         4336.29      40.0000000         9999.00
eclass            2330287       2.3176568       1.3927080       1.0000000       4.0000000
dropout           2330287       0.2298663       0.5758217               0       1.0000000
somecoll          2330287       0.1884221       0.5351781               0       1.0000000
collplus          2330287       0.1795505       0.5252748               0       1.0000000
advanced          2330287       0.0845213       0.3806926               0       1.0000000
exp               2330287      17.5262059      17.3256744       1.0000000      45.0000000
xclass            2330287       3.9204625       3.4449464       1.0000000       9.0000000
annhrs            2330287         1770.88         1010.77       1.0000000         5148.00
female            2330287       0.4489723       0.6807126               0       1.0000000
owage             2330287       7.6201378      35.8186704       0.0013355        18005.00
logwage2          2330287       1.7720391       0.8616246       0.7770287       4.9767337
ic                2330287       0.1776261       7.5047527      -1.0000000      38.0000000
euro              2330287       0.0250191       0.2137474               0       1.0000000
hi_asian          2330287       0.0050648       0.0971511               0       1.0000000
mid_asian         2330287       0.0058684       0.1045316               0       1.0000000
mex               2330287       0.0118893       0.1483366               0       1.0000000
yrsinus           2330287       1.0361732       6.6593602               0      40.0000000
yrsinus2          2330287      24.7508578     210.9918436               0         1600.00
pre_exp           2330287       0.2535236       4.5199544     -33.0000000      42.5000000
pre_exp1          2330287       0.0151001       0.1668991               0       1.0000000
euro_ed           2330287       0.3038143       2.7264215               0      20.0000000
hi_asian_ed       2330287       0.0739129       1.4641359               0      20.0000000
mid_asian_ed      2330287       0.0774001       1.4535274               0      20.0000000
mex_ed            2330287       0.0894539       1.2824802               0      20.0000000
euro_coll         2330287       0.0049416       0.0959676               0       1.0000000
hi_asian_coll     2330287       0.0023665       0.0664982               0       1.0000000
mid_asian_coll    2330287       0.0022208       0.0644231               0       1.0000000
mex_coll          2330287     0.000336572       0.0251034               0       1.0000000
euro_yrs          2330287       0.5290823       5.2117052               0      40.0000000
hi_asian_yrs      2330287       0.0466482       1.1859605               0      40.0000000
mid_asian_yrs     2330287       0.0594898       1.4407060               0      40.0000000
mex_yrs           2330287       0.1428299       2.3137937               0      40.0000000
euro_yrs2         2330287      14.7818330     173.4986027               0         1600.00
hi_asian_yrs2     2330287       0.7531171      28.7381371               0         1600.00
mid_asian_yrs2    2330287       1.1117339      42.0516818               0         1600.00
mex_yrs2          2330287       2.8787454      66.7593599               0         1600.00
imm_ed            2330287       0.7792805       4.2625556               0      20.0000000
imm_coll          2330287       0.0132830       0.1566795               0       1.0000000
inschool          2330287       0.0801415       0.3715836               0       1.0000000
exp2              2330287       4.6743535       7.4349110       0.0100000      20.2500000
exp3              2330287      14.8307101      30.2300501       0.0010000      91.1250000
asian             2330287       0.0167493       0.1756298               0       1.0000000
black             2330287       0.1057351       0.4208333               0       1.0000000
asian_ed          2330287       0.2278269       2.4851665               0      20.0000000
-----------------------------------------------------------------------------------------
The SAS System                                                                          17:16 Friday, March 22, 2019   2

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
