The SAS System                                                                          18:01 Friday, March 22, 2019   1

Obs    _NAME_         COL1       COL2       COL3       COL4       COL5

  1    emp            0.77       0.66       0.78       0.82       0.88
  2    annhrs      1387.93    1100.21    1411.59    1495.07    1676.65
  3    cannhrs     1797.51    1658.33    1814.94    1812.96    1913.33
  4    ft             0.65       0.54       0.66       0.69       0.76
  5    educ          12.27       8.63      12.00      13.84      17.04
  6    age           38.49      39.67      37.99      37.04      39.33
  7    x1             0.34       0.25       0.34       0.43       0.42
  8    x2             0.23       0.17       0.25       0.25       0.25
  9    x3             0.17       0.18       0.18       0.15       0.17
 10    x4             0.25       0.39       0.24       0.17       0.16
 11    black          0.11       0.17       0.10       0.09       0.05
 12    hispanic       0.06       0.12       0.04       0.04       0.03
 13    rmsa0          0.23       0.28       0.25       0.20       0.17
 14    rmsa1          0.13       0.13       0.14       0.13       0.12
 15    q1             0.22       0.33       0.23       0.17       0.06
 16    q2             0.21       0.23       0.22       0.20       0.12
 17    q3             0.19       0.18       0.20       0.21       0.17
 18    q4             0.20       0.16       0.19       0.22       0.25
 19    q5             0.19       0.09       0.15       0.20       0.40
 20    q1c            0.20       0.30       0.22       0.17       0.06
 21    q2c            0.20       0.23       0.22       0.20       0.12
 22    q3c            0.19       0.19       0.20       0.21       0.17
 23    q4c            0.21       0.18       0.20       0.22       0.25
 24    q5c            0.20       0.11       0.16       0.21       0.39
 25    imm            0.07       0.10       0.05       0.06       0.08
 26    female         0.51       0.50       0.56       0.51       0.41
 27    wage2          7.47       6.26       6.76       7.58      10.48
 28    logwage2       1.77       1.58       1.70       1.81       2.13
