The SAS System                                                                       21:11 Wednesday, March 27, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
state             3886590      27.6098862      95.4949248       1.0000000      56.0000000
msa               3886590         5689.75        18984.07      40.0000000         9999.00
age               3886590      38.9504129      74.2291341      18.0000000      68.0000000
pob               3886590      55.3127256     502.9665252       1.0000000     555.0000000
english           3886590       0.2458086       4.2722211               0       4.0000000
weeks             3886590      36.5262844     127.4504459               0      52.0000000
wagesal           3886590        17499.06       131913.63               0       197927.00
selfinc           3886590         1430.20        54020.14       -19998.00       215195.00
hispanic          3886590       0.0858357       1.7013977               0       1.0000000
imm               3886590       0.0992803       1.8162941               0       1.0000000
educ              3886590      12.7293506      18.4256147               0      20.0000000
eclass            3886590       2.5053979       6.2972053       1.0000000       4.0000000
dropout           3886590       0.1985098       2.4227015               0       1.0000000
somecoll          3886590       0.2759783       2.7150203               0       1.0000000
collplus          3886590       0.2139647       2.4908748               0       1.0000000
advanced          3886590       0.0738802       1.5887564               0       1.0000000
exp               3886590      19.1381270      74.7041553       1.0000000      45.0000000
xclass            3886590       4.2350545      14.8653669       1.0000000       9.0000000
annhrs            3886590         1505.52         6138.50               0         5148.00
wage              2937661      12.4559624      76.8876385       2.5125000     167.5000000
owage             2937661      13.0413360     676.5692779     0.000194250       195516.00
wage2             2783380      12.3013011      74.4997244       2.5125000     167.5000000
logwage2          2783380       2.2623675       4.0806254       0.9212783       5.1209834
female            3886590       0.5032077       3.0368328               0       1.0000000
c                 3886590       1.0000000               0       1.0000000       1.0000000
inschool          3886590       0.0982502       1.8078801               0       1.0000000
exp2              3886590       5.1754372      33.7501533       0.0100000      20.2500000
exp3              3886590      16.4983291     141.9743564     0.000999999      91.1250000
ic                3886590       0.5462543      37.5155643      -1.0000000      38.0000000
yrsinus           3886590       1.4741631      34.2661272               0      45.0000000
pre_exp           3886590       0.4128966      23.2513453     -27.5000000      43.5000000
pre_exp1          3886590       0.0197827       0.8457916               0       1.0000000
yrsinus2          3886590      34.0012348         1067.28               0         2025.00
euro              3886590       0.0224940       0.9006427               0       1.0000000
hi_asian          3886590       0.0109577       0.6323053               0       1.0000000
mid_asian         3886590       0.0102300       0.6111734               0       1.0000000
mex               3886590       0.0229048       0.9086392               0       1.0000000
euro_ed           3886590       0.2872225      11.9910218               0      20.0000000
euro_coll         3886590       0.0057809       0.4604671               0       1.0000000
hi_asian_ed       3886590       0.1563496       9.3051397               0      20.0000000
hi_asian_coll     3886590       0.0052605       0.4393679               0       1.0000000
mid_asian_ed      3886590       0.1303667       8.2064145               0      20.0000000
mid_asian_coll    3886590       0.0034874       0.3580566               0       1.0000000
mex_ed            3886590       0.1771360       8.1041031               0      20.0000000
mex_coll          3886590     0.000675457       0.1578018               0       1.0000000
euro_yrs          3886590       0.5064717      23.5566983               0      45.0000000
hi_asian_yrs      3886590       0.1251061       9.0544402               0      45.0000000
mid_asian_yrs     3886590       0.1212244       8.9976158               0      45.0000000
mex_yrs           3886590       0.2973900      14.6496892               0      45.0000000
euro_yrs2         3886590      15.2986391     826.7545847               0         2025.00
hi_asian_yrs2     3886590       2.2379561     224.9766055               0         2025.00
mid_asian_yrs2    3886590       2.2091937     236.9859771               0         2025.00
mex_yrs2          3886590       5.9059515     404.7769857               0         2025.00
-----------------------------------------------------------------------------------------
The SAS System                                                                       21:11 Wednesday, March 27, 2019   2

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
imm_ed            3886590       1.1224171      22.3859122               0      20.0000000
imm_coll          3886590       0.0209106       0.8690683               0       1.0000000
asian             3886590       0.0070467       0.5080620               0       1.0000000
black             3886590       0.0017566       0.2543363               0       1.0000000
asian_ed          3886590       0.0831381       6.1679350               0      20.0000000
black_ed          3886590       0.0226840       3.3769540               0      20.0000000
asian_coll        3886590     0.000623246       0.1515843               0       1.0000000
black_coll        3886590     0.000397364       0.1210508               0       1.0000000
hisp_ed           3886590       0.8829537      18.9820865               0      20.0000000
hisp_coll         3886590       0.0071327       0.5111325               0       1.0000000
p1                3886590       0.0886687       0.4957988     0.000692260       0.6671970
p2                3886590       0.0974458       0.3993457       0.0018950       0.2315477
p3                3886590       0.0932334       0.3060208       0.0035811       0.1591841
p4                3886590       0.1010095       0.2446245       0.0077400       0.1439071
p5                3886590       0.0989269       0.1802562       0.0136687       0.1332594
p6                3886590       0.0942113       0.1295745       0.0170211       0.1217200
p7                3886590       0.1087994       0.1946248       0.0097028       0.1489274
p8                3886590       0.1016837       0.3106310       0.0038321       0.1707784
p9                3886590       0.1024791       0.4547373       0.0016610       0.2328081
p10               3886590       0.1135422       0.6874847     0.000336084       0.5907050
rmsa              3886590         2991.59        17816.44               0         9320.00
dev               2783380       0.0063923       4.0806254      -1.3346969       2.8650082
devsq             2783380       0.4461067       4.4394254    1.548951E-11       8.2082717
