The SAS System                                                                        12:15 Thursday, March 28, 2019   1

Obs    _NAME_         COL1       COL2       COL3       COL4       COL5

  1    emp            0.81       0.67       0.80       0.86       0.90
  2    annhrs      1505.52    1081.90    1478.36    1623.15    1786.36
  3    cannhrs     1849.01    1618.47    1836.93    1880.52    1984.62
  4    ft             0.68       0.52       0.67       0.72       0.78
  5    educ          12.73       8.71      12.00      13.25      16.84
  6    age           38.95      37.75      39.05      38.35      40.68
  7    x1             0.30       0.26       0.28       0.33       0.31
  8    x2             0.29       0.23       0.28       0.32       0.34
  9    x3             0.20       0.19       0.21       0.19       0.19
 10    x4             0.21       0.31       0.24       0.16       0.16
 11    black          0.00       0.00       0.00       0.00       0.00
 12    hispanic       0.09       0.21       0.06       0.06       0.03
 13    rmsa0          0.21       0.24       0.25       0.19       0.14
 14    rmsa1          0.14       0.13       0.15       0.14       0.13
 15    q1             0.19       0.32       0.21       0.16       0.06
 16    q2             0.19       0.23       0.22       0.20       0.12
 17    q3             0.19       0.19       0.20       0.21       0.17
 18    q4             0.21       0.16       0.20       0.22       0.25
 19    q5             0.22       0.10       0.17       0.21       0.40
 20    q1c            0.18       0.30       0.21       0.16       0.06
 21    q2c            0.19       0.23       0.21       0.20       0.12
 22    q3c            0.19       0.19       0.20       0.21       0.17
 23    q4c            0.22       0.18       0.21       0.22       0.25
 24    q5c            0.22       0.11       0.17       0.21       0.39
 25    imm            0.10       0.19       0.06       0.07       0.10
 26    female         0.50       0.48       0.53       0.52       0.45
 27    wage2         12.30       8.80      10.26      12.02      18.08
 28    logwage2       2.26       1.93       2.13       2.28       2.68
