The SAS System                                                                        10:50 Thursday, March 28, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
state             4611927      27.5589917      95.0093413       1.0000000      56.0000000
msa               4611927         5946.89        19175.76      40.0000000         9999.00
p1                4611927       0.0815778       0.4881534     0.000612652       0.6675240
age               4611927      40.4603287      72.2935201      18.0000000      68.0000000
black             4611927       0.1164680       1.9193236               0       1.0000000
grade             4611927      10.1152118      16.9940689       1.0000000      16.0000000
educ              4611927      13.0308147      17.9695475               0      20.0000000
pob               4611927      65.1208977     546.8874299       1.0000000     528.0000000
weeks             4611927      37.1148913     125.5015880               0      52.0000000
wagesal           4611927        26245.24       221156.84               0       385000.00
selfinc           4611927         2024.22        89333.88       -10000.00       355000.00
imm               4611927       0.1431034       2.0951883               0       1.0000000
hispanic          4611927       0.1211932       1.9526287               0       1.0000000
female            4611927       0.4999541       2.9916020               0       1.0000000
annhrs            4611927         1545.89         6094.85               0         5148.00
dropout           4611927       0.1753495       2.2752075               0       1.0000000
somecoll          4611927       0.2933033       2.7240107               0       1.0000000
collplus          4611927       0.2498170       2.5901710               0       1.0000000
eclass            4611927       2.6175879       6.2366288       1.0000000       4.0000000
c                 4611927       1.0000000               0       1.0000000       1.0000000
advanced          4611927       0.0881502       1.6963175               0       1.0000000
inschool          4611927       0.0881514       1.6963280               0       1.0000000
exp               4611927      20.4005024      71.6126379       1.0000000      45.0000000
xclass            4611927       4.4871874      14.2560703       1.0000000       9.0000000
wage              3472186      18.3445629     130.1509495       3.8624992     257.5000000
wage2             3328862      18.1768168     128.0582622       3.8624992     257.5000000
exp2              4611927       5.5943599      32.0949996       0.0100000      20.2500000
exp3              4611927      17.5961355     134.1929833     0.000999999      91.1250000
logwage2          3328862       2.6154515       4.1514099       1.3513145       5.5510178
owage             3472186      19.4078275         1322.06     0.000777001       320000.00
ic                4611927       0.9172720      39.7982928      -1.0000000      38.0000000
euro              4611927       0.0236914       0.9099606               0       1.0000000
hi_asian          4611927       0.0157535       0.7450309               0       1.0000000
mid_asian         4611927       0.0157399       0.7447150               0       1.0000000
mex               4611927       0.0440150       1.2273255               0       1.0000000
yrsinus           4611927       2.2366551      41.6897657               0      72.0000000
pre_exp           4611927       0.5353919      26.7632937     -28.0000000      45.0000000
pre_exp1          4611927       0.0283042       0.9922582               0       1.0000000
yrsinus2          4611927      53.5528539         1360.72               0         5184.00
euro_ed           4611927       0.3267802      12.9090338               0      20.0000000
hi_asian_ed       4611927       0.2337657      11.3194339               0      20.0000000
mid_asian_ed      4611927       0.2081118      10.3026940               0      20.0000000
mex_ed            4611927       0.3774866      11.7801464               0      20.0000000
euro_coll         4611927       0.0085901       0.5521543               0       1.0000000
hi_asian_coll     4611927       0.0088899       0.5616212               0       1.0000000
mid_asian_coll    4611927       0.0060462       0.4638306               0       1.0000000
mex_coll          4611927       0.0016325       0.2415476               0       1.0000000
euro_yrs          4611927       0.4922191      23.5686795               0      72.0000000
hi_asian_yrs      4611927       0.2296228      13.2624356               0      70.0000000
mid_asian_yrs     4611927       0.2361315      13.2665500               0      70.0000000
mex_yrs           4611927       0.6149760      21.3672477               0      70.0000000
euro_yrs2         4611927      15.7591048     925.4066012               0         5184.00
hi_asian_yrs2     4611927       4.9660906     364.7964434               0         4900.00
-----------------------------------------------------------------------------------------
The SAS System                                                                        10:50 Thursday, March 28, 2019   2

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
mid_asian_yrs2    4611927       4.9721711     365.7815547               0         4900.00
mex_yrs2          4611927      13.1316998     613.7093572               0         4900.00
imm_ed            4611927       1.6659567      26.4529791               0      20.0000000
imm_coll          4611927       0.0339883       1.0841513               0       1.0000000
asian             4611927       0.0399803       1.1721867               0       1.0000000
asian_ed          4611927       0.5513895      16.8088602               0      20.0000000
black_ed          4611927       1.4535122      24.4920825               0      20.0000000
asian_coll        4611927       0.0176815       0.7885314               0       1.0000000
black_coll        4611927       0.0162968       0.7575602               0       1.0000000
hisp_ed           4611927       1.2833854      22.2902116               0      20.0000000
hisp_coll         4611927       0.0114385       0.6362377               0       1.0000000
p2                4611927       0.0909325       0.3822205       0.0017073       0.2315477
p3                4611927       0.0889398       0.2985940       0.0032636       0.1591841
p4                4611927       0.0982279       0.2459349       0.0071276       0.1439071
p5                4611927       0.0979058       0.1865422       0.0127150       0.1332594
p6                4611927       0.0945962       0.1323053       0.0155951       0.1217200
p7                4611927       0.1106995       0.1835841       0.0087660       0.1489274
p8                4611927       0.1047197       0.2966825       0.0034117       0.1707784
p9                4611927       0.1073784       0.4490001       0.0014579       0.2328081
p10               4611927       0.1250224       0.7097150     0.000334980       0.6042732
rmsa              4611927         2768.24        17654.75               0         9320.00
dev               3328862       0.0024598       4.1514111      -1.2616779       2.9380272
devsq             3328862       0.4741513       5.1038023    2.002909E-10       8.6320039
nonmover          4611927       0.5249084       2.9878876               0       1.0000000
emp               4611927       0.8107812       2.3435154               0       1.0000000
-----------------------------------------------------------------------------------------
The SAS System                                                                        10:50 Thursday, March 28, 2019   3

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
state             3523473      28.2924223      99.3152744       1.0000000      56.0000000
msa               3523473         5979.62        20658.46      40.0000000         9999.00
p1                3523473       0.0763363       0.4950289       0.0010635       0.6671970
age               3523473      40.7739864      76.8676402      18.0000000      68.0000000
black             3523473       0.1252388       2.0973361               0       1.0000000
grade             3523473      10.3357918      16.0223510       1.0000000      16.0000000
educ              3523473      13.2628122      16.4424102               0      20.0000000
pob               3523473      30.8375531     149.0740779       1.0000000     528.0000000
weeks             3523473      37.6672881     131.4204736               0      52.0000000
wagesal           3523473        26970.31       235639.29               0       385000.00
selfinc           3523473         2071.83        96056.62       -10000.00       355000.00
imm               3523473               0               0               0               0
hispanic          3523473       0.0626382       1.5354191               0       1.0000000
female            3523473       0.5018015       3.1682610               0       1.0000000
annhrs            3523473         1569.25         6416.94               0         5148.00
dropout           3523473       0.1421250       2.2125904               0       1.0000000
somecoll          3523473       0.3102143       2.9311750               0       1.0000000
collplus          3523473       0.2518725       2.7506288               0       1.0000000
eclass            3523473       2.6718343       6.3633359       1.0000000       4.0000000
c                 3523473       1.0000000               0       1.0000000       1.0000000
advanced          3523473       0.0862140       1.7785450               0       1.0000000
inschool          3523473       0.0853738       1.7706710               0       1.0000000
exp               3523473      20.5724427      76.2266741       1.0000000      45.0000000
xclass            3523473       4.5220962      15.1670826       1.0000000       9.0000000
wage              2697530      18.4739792     135.7233830       3.8624992     257.5000000
wage2             2576838      18.3105658     133.5920012       3.8624992     257.5000000
exp2              3523473       5.6793787      34.1957754       0.0100000      20.2500000
exp3              3523473      17.9351663     143.2312721     0.000999999      91.1250000
logwage2          2576838       2.6309293       4.3373895       1.3513145       5.5510178
owage             2697530      19.5332888         1485.06     0.000777001       320000.00
ic                3523473      -1.0000000               0      -1.0000000      -1.0000000
euro              3523473               0               0               0               0
hi_asian          3523473               0               0               0               0
mid_asian         3523473               0               0               0               0
mex               3523473               0               0               0               0
yrsinus           3523473               0               0               0               0
pre_exp           3523473               0               0               0               0
pre_exp1          3523473               0               0               0               0
yrsinus2          3523473               0               0               0               0
euro_ed           3523473               0               0               0               0
hi_asian_ed       3523473               0               0               0               0
mid_asian_ed      3523473               0               0               0               0
mex_ed            3523473               0               0               0               0
euro_coll         3523473               0               0               0               0
hi_asian_coll     3523473               0               0               0               0
mid_asian_coll    3523473               0               0               0               0
mex_coll          3523473               0               0               0               0
euro_yrs          3523473               0               0               0               0
hi_asian_yrs      3523473               0               0               0               0
mid_asian_yrs     3523473               0               0               0               0
mex_yrs           3523473               0               0               0               0
euro_yrs2         3523473               0               0               0               0
hi_asian_yrs2     3523473               0               0               0               0
-----------------------------------------------------------------------------------------
The SAS System                                                                        10:50 Thursday, March 28, 2019   4

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
mid_asian_yrs2    3523473               0               0               0               0
mex_yrs2          3523473               0               0               0               0
imm_ed            3523473               0               0               0               0
imm_coll          3523473               0               0               0               0
asian             3523473       0.0076888       0.5534855               0       1.0000000
asian_ed          3523473       0.1080763       7.9458809               0      20.0000000
black_ed          3523473       1.5591890      26.6739164               0      20.0000000
asian_coll        3523473       0.0031548       0.3553454               0       1.0000000
black_coll        3523473       0.0165778       0.8090733               0       1.0000000
hisp_ed           3523473       0.7518141      18.9952830               0      20.0000000
hisp_coll         3523473       0.0074593       0.5452283               0       1.0000000
p2                3523473       0.0878523       0.4007830       0.0027291       0.2315473
p3                3523473       0.0869912       0.3187161       0.0049487       0.1591841
p4                3523473       0.0968292       0.2656714       0.0103030       0.1439071
p5                3523473       0.0972965       0.2022258       0.0175462       0.1332594
p6                3523473       0.0946374       0.1396584       0.0155951       0.1217199
p7                3523473       0.1116568       0.1891824       0.0087660       0.1489274
p8                3523473       0.1067119       0.3129588       0.0034117       0.1707784
p9                3523473       0.1107886       0.4793928       0.0014579       0.2328081
p10               3523473       0.1308997       0.7599618     0.000336084       0.5411772
rmsa              3523473         2630.41        18538.23               0         9320.00
dev               2576838       0.0179376       4.3373908      -1.2616779       2.9380272
devsq             2576838       0.4636655       5.3405319    2.002909E-10       8.6320039
nonmover          3523473       0.6125691       3.0869418               0       1.0000000
emp               3523473       0.8194608       2.4372696               0       1.0000000
-----------------------------------------------------------------------------------------
The SAS System                                                                        10:50 Thursday, March 28, 2019   5

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
state             1088454      23.1672444      76.3513669       1.0000000      56.0000000
msa               1088454         5750.92        13249.35      40.0000000         9999.00
p1                1088454       0.1129637       0.4375590     0.000612652       0.6675240
age               1088454      38.5821616      54.1143498      18.0000000      68.0000000
black             1088454       0.0639484       1.1398820               0       1.0000000
grade             1088454       8.7943889      18.6671321       1.0000000      16.0000000
educ              1088454      11.6416252      21.0745398               0      20.0000000
pob               1088454     270.4079204     357.4731151     100.0000000     528.0000000
weeks             1088454      33.8071659     102.7171808               0      52.0000000
wagesal           1088454        21903.54       164370.04               0       385000.00
selfinc           1088454         1739.16        62800.83       -10000.00       355000.00
imm               1088454       1.0000000               0       1.0000000       1.0000000
hispanic          1088454       0.4718180       2.3258100               0       1.0000000
female            1088454       0.4888917       2.3289383               0       1.0000000
annhrs            1088454         1405.99         4858.62               0         5148.00
dropout           1088454       0.3742958       2.2546919               0       1.0000000
somecoll          1088454       0.1920410       1.8352145               0       1.0000000
collplus          1088454       0.2375088       1.9826792               0       1.0000000
eclass            1088454       2.2927628       5.5726748       1.0000000       4.0000000
c                 1088454       1.0000000               0       1.0000000       1.0000000
advanced          1088454       0.0997443       1.3961183               0       1.0000000
inschool          1088454       0.1047837       1.4269411               0       1.0000000
exp               1088454      19.3709319      53.7899152       1.0000000      45.0000000
xclass            1088454       4.2781549      10.7404784       1.0000000       9.0000000
wage               774656      17.5056178     108.4548010       3.8624992     257.5000000
wage2              752024      17.3220358     106.8608611       3.8624992     257.5000000
exp2              1088454       5.0852710      23.9314501       0.0100000      20.2500000
exp3              1088454      15.5660353      98.9264598     0.000999999      91.1250000
logwage2           752024       2.5165339       3.4026847       1.3513145       5.5510178
owage              774656      18.5945201     393.0325389     0.000961538        36111.11
ic                1088454      12.3978045      58.0728375       1.0000000      38.0000000
euro              1088454       0.1655542       1.7316670               0       1.0000000
hi_asian          1088454       0.1100847       1.4582534               0       1.0000000
mid_asian         1088454       0.1099898       1.4577027               0       1.0000000
mex               1088454       0.3075748       2.1500917               0       1.0000000
yrsinus           1088454      15.6296388      53.1086452               0      72.0000000
pre_exp           1088454       3.7412932      52.6744606     -28.0000000      45.0000000
pre_exp1          1088454       0.1977887       1.8558389               0       1.0000000
yrsinus2          1088454     374.2247738         2289.21               0         5184.00
euro_ed           1088454       2.2835244      24.6799394               0      20.0000000
hi_asian_ed       1088454       1.6335432      22.2096531               0      20.0000000
mid_asian_ed      1088454       1.4542754      20.2587070               0      20.0000000
mex_ed            1088454       2.6378581      21.4142359               0      20.0000000
euro_coll         1088454       0.0600275       1.1066945               0       1.0000000
hi_asian_coll     1088454       0.0621223       1.1245841               0       1.0000000
mid_asian_coll    1088454       0.0422508       0.9372135               0       1.0000000
mex_coll          1088454       0.0114077       0.4947690               0       1.0000000
euro_yrs          1088454       3.4396038      46.1909047               0      72.0000000
hi_asian_yrs      1088454       1.6045932      26.4081268               0      70.0000000
mid_asian_yrs     1088454       1.6500757      26.3647159               0      70.0000000
mex_yrs           1088454       4.2974229      39.8873205               0      70.0000000
euro_yrs2         1088454     110.1238684         1844.73               0         5184.00
hi_asian_yrs2     1088454      34.7028030     735.8419141               0         4900.00
-----------------------------------------------------------------------------------------
The SAS System                                                                        10:50 Thursday, March 28, 2019   6

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
mid_asian_yrs2    1088454      34.7452932     737.8739100               0         4900.00
mex_yrs2          1088454      91.7636881         1199.69               0         4900.00
