The SAS System                                                                       22:03 Wednesday, March 27, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
state             3328862      27.7285084      95.3234887       1.0000000      56.0000000
msa               3328862         5942.85        19390.14      40.0000000         9999.00
age               3328862      39.3972310      69.2062969      18.0000000      68.0000000
black             3328862       0.1138197       1.9147401               0       1.0000000
grade             3328862      10.3344655      16.2597743       1.0000000      16.0000000
educ              3328862      13.2377025      17.1446034               0      20.0000000
english            816148       1.7447334       4.8789983       1.0000000       4.0000000
pob               3328862      63.3958389     540.4009281       1.0000000     528.0000000
imm               3328862       0.1353009       2.0621626               0       1.0000000
hispanic          3328862       0.1164207       1.9336499               0       1.0000000
female            3328862       0.4754179       3.0108183               0       1.0000000
annhrs            3328862         1900.52         4523.73       1.0000000         5148.00
dropout           3328862       0.1459500       2.1285497               0       1.0000000
somecoll          3328862       0.3099123       2.7881210               0       1.0000000
collplus          3328862       0.2650207       2.6608324               0       1.0000000
eclass            3328862       2.6940038       6.1314638       1.0000000       4.0000000
c                 3328862       1.0000000               0       1.0000000       1.0000000
advanced          3328862       0.0920793       1.7431914               0       1.0000000
inschool          3328862       0.0911769       1.7354904               0       1.0000000
exp               3328862      19.1551735      68.6390086       1.0000000      45.0000000
xclass            3328862       4.2416736      13.6856219       1.0000000       9.0000000
exp2              3328862       4.9653753      29.3166796       0.0100000      20.2500000
exp3              3328862      14.8317522     117.9582700     0.000999999      91.1250000
logwage2          3328862       2.6154515       4.1514099       1.3513145       5.5510178
owage             3328862      19.0209313         1026.42     0.000961538       320000.00
ic                3328862       0.8044767      38.9769948      -1.0000000      38.0000000
euro              3328862       0.0221765       0.8878038               0       1.0000000
hi_asian          3328862       0.0140839       0.7104299               0       1.0000000
mid_asian         3328862       0.0161487       0.7599303               0       1.0000000
mex               3328862       0.0407123       1.1914537               0       1.0000000
yrsinus           3328862       2.1470961      40.9021973               0      71.0000000
pre_exp           3328862       0.3930245      25.2192155     -28.0000000      45.0000000
pre_exp1          3328862       0.0294006       1.0184455               0       1.0000000
yrsinus2          3328862      50.6370768         1304.96               0         5041.00
euro_ed           3328862       0.3110687      12.7797063               0      20.0000000
hi_asian_ed       3328862       0.2142656      11.0311460               0      20.0000000
mid_asian_ed      3328862       0.2184683      10.6944657               0      20.0000000
mex_ed            3328862       0.3578046      11.6382366               0      20.0000000
euro_coll         3328862       0.0086661       0.5588055               0       1.0000000
hi_asian_coll     3328862       0.0086470       0.5581947               0       1.0000000
mid_asian_coll    3328862       0.0066427       0.4897383               0       1.0000000
mex_coll          3328862       0.0016352       0.2435924               0       1.0000000
euro_yrs          3328862       0.4520371      22.5217963               0      71.0000000
hi_asian_yrs      3328862       0.2129770      12.8555826               0      63.0000000
mid_asian_yrs     3328862       0.2448062      13.5011885               0      70.0000000
