The SAS System                                                                        11:01 Thursday, March 28, 2019   1

Obs    _NAME_         COL1       COL2       COL3       COL4       COL5

  1    emp            0.81       0.66       0.79       0.85       0.88
  2    annhrs      1545.89    1093.67    1502.08    1641.64    1800.25
  3    cannhrs     1906.66    1653.16    1891.83    1924.68    2034.30
  4    ft             0.68       0.52       0.67       0.71       0.77
  5    educ          13.03       8.89      12.00      13.24      16.86
  6    age           40.46      36.80      40.62      40.68      42.59
  7    x1             0.25       0.28       0.22       0.26       0.26
  8    x2             0.27       0.23       0.26       0.28       0.29
  9    x3             0.26       0.23       0.26       0.26       0.27
 10    x4             0.23       0.27       0.26       0.20       0.18
 11    black          0.12       0.16       0.13       0.12       0.07
 12    hispanic       0.12       0.33       0.10       0.08       0.05
 13    rmsa0          0.25       0.24       0.27       0.26       0.24
 14    rmsa1          0.14       0.14       0.15       0.14       0.14
 15    q1             0.17       0.32       0.20       0.15       0.06
 16    q2             0.19       0.23       0.21       0.20       0.12
 17    q3             0.19       0.19       0.20       0.21       0.17
 18    q4             0.22       0.16       0.21       0.23       0.25
 19    q5             0.23       0.09       0.18       0.22       0.40
 20    q1c            0.16       0.31       0.20       0.15       0.06
 21    q2c            0.18       0.23       0.21       0.19       0.12
 22    q3c            0.19       0.19       0.20       0.21       0.17
 23    q4c            0.22       0.17       0.21       0.23       0.25
 24    q5c            0.24       0.10       0.18       0.22       0.40
 25    imm            0.14       0.31       0.10       0.09       0.14
 26    female         0.50       0.46       0.50       0.53       0.49
 27    wage2         18.18      12.30      14.40      16.98      26.79
 28    logwage2       2.62       2.22       2.44       2.61       3.02
The SAS System                                                                        11:01 Thursday, March 28, 2019   2

  Obs    rmsa        count      imm        mex      dropout       hs      somecoll    college    logwage2

    1       .    165101100    0.14310    0.04402    0.17535    0.28153     0.29330    0.16167     2.61545
  226       0     41582512    0.08714    0.02788    0.16524    0.30193     0.29721    0.15496     2.56969
  227       1     23855947    0.12361    0.03944    0.17212    0.28888     0.29257    0.16052     2.60031
  228      80       352861    0.03696    0.00135    0.13711    0.36420     0.28462    0.14149     2.59020
  229     160       470215    0.26081    0.00958    0.18671    0.26932     0.26255    0.16650     2.72409
  230     200       366109    0.10430    0.07403    0.19765    0.26939     0.30674    0.13415     2.44751
  231     240       302946    0.04729    0.00235    0.13859    0.38365     0.24138    0.14515     2.61775
  232     440       344166    0.06207    0.00730    0.14193    0.29725     0.33704    0.14437     2.67097
  233     520      2199100    0.09357    0.03111    0.19640    0.29101     0.27221    0.16113     2.57972
  234     600       260908    0.07820    0.02441    0.19593    0.29462     0.26223    0.16432     2.58184
  235     640       725741    0.18674    0.11832    0.23836    0.25299     0.27962    0.15423     2.54806
  236     680       379835    0.34035    0.14979    0.23121    0.19801     0.30774    0.17298     2.69655
  237     720      1390054    0.12499    0.00514    0.13427    0.26498     0.27893    0.18866     2.75526
  238     760       297634    0.03561    0.00300    0.22068    0.33474     0.25034    0.13170     2.46643
  239     875       779922    0.22181    0.01028    0.15076    0.27650     0.25523    0.20106     2.83887
  240    1000       546999    0.02814    0.00748    0.20674    0.30963     0.28601    0.12815     2.50165
  241    1080       186185    0.06597    0.03827    0.14592    0.26544     0.37159    0.15029     2.47961
  242    1120      1910192    0.15024    0.00194    0.12730    0.25394     0.26267    0.21253     2.78350
  243    1160       200386    0.13614    0.00544    0.12475    0.28620     0.25951    0.19242     2.81442
  244    1280       636100    0.26077    0.01304    0.18596    0.26848     0.26256    0.16416     2.72224
  245    1440       310142    0.03973    0.01205    0.19486    0.31720     0.28909    0.13167     2.50868
  246    1520       782412    0.06684    0.02526    0.18586    0.29434     0.29253    0.15759     2.53451
  247    1560       249008    0.05065    0.01479    0.19324    0.32729     0.25937    0.14341     2.55052
  248    1600      4107160    0.16397    0.06898    0.16581    0.26672     0.29602    0.17499     2.67948
  249    1640       877456    0.03310    0.00323    0.15858    0.35471     0.27915    0.13330     2.55454
  250    1680      1260230    0.03719    0.00278    0.13739    0.35366     0.28526    0.14768     2.60154
  251    1720       303108    0.10247    0.05154    0.13207    0.22054     0.31878    0.21823     2.65627
  252    1760       289006    0.03788    0.01023    0.20107    0.30421     0.28891    0.13695     2.48566
  253    1840       853102    0.03618    0.00285    0.14229    0.35559     0.28572    0.14384     2.60201
  254    1920      2040648    0.18493    0.11741    0.23296    0.24972     0.28821    0.15497     2.54378
  255    2000       503267    0.03738    0.00260    0.14392    0.35037     0.28640    0.14372     2.59607
  256    2020       259170    0.20751    0.01692    0.18613    0.27364     0.30434    0.15404     2.56400
  257    2080      1152195    0.10683    0.05198    0.13577    0.22709     0.31906    0.21237     2.65208
  258    2120       139559    0.03291    0.01218    0.10949    0.33460     0.32066    0.17269     2.50388
  259    2160      2041565    0.06285    0.00792    0.14177    0.30251     0.32882    0.14680     2.67068
  260    2320       347674    0.17977    0.11664    0.23092    0.25382     0.28385    0.15884     2.52839
  261    2640       252808    0.06039    0.00873    0.14354    0.30748     0.32334    0.14167     2.66837
  262    2680       867997    0.20748    0.01791    0.18130    0.28022     0.30472    0.15552     2.55156
  263    2700       265017    0.20182    0.01297    0.17699    0.27468     0.31101    0.15637     2.54992
  264    2760       286715    0.03517    0.01132    0.15451    0.36033     0.28310    0.13184     2.57294
  265    2800       886895    0.18980    0.12316    0.23554    0.25464     0.28740    0.15237     2.53282
  266    2840       555439    0.34376    0.15597    0.23345    0.20116     0.30661    0.16922     2.67288
  267    2960       323154    0.04454    0.01636    0.15862    0.36649     0.27510    0.12772     2.55912
  268    3000       556098    0.06424    0.00832    0.13486    0.30884     0.33232    0.14739     2.66124
  269    3120       733672    0.07023    0.02822    0.18156    0.29864     0.29863    0.15182     2.52760
  270    3160       540320    0.03731    0.01061    0.20824    0.31094     0.27563    0.13356     2.49608
  271    3240       338874    0.04943    0.00293    0.13554    0.38437     0.24463    0.15748     2.59365
  272    3280       686559    0.13280    0.00654    0.12702    0.27214     0.26577    0.19886     2.84283
  273    3320       480623    0.21628    0.00377    0.10887    0.27980     0.34444    0.18409     2.62959
  274    3360      2145838    0.18598    0.11875    0.24130    0.24998     0.28011    0.15582     2.54285
  275    3480       750792    0.04079    0.01442    0.15771    0.36764     0.27743    0.12813     2.57410
  276    3560       218545    0.01591    0.00470    0.22314    0.30993     0.29795    0.11538     2.43013
  277    3600       630661    0.20886    0.01601    0.18561    0.28397     0.31069    0.14244     2.53192
  278    3640       347576    0.22756    0.01115    0.14798    0.28686     0.24852    0.20722     2.82368
  279    3660       267634    0.05540    0.00691    0.17942    0.30728     0.27180    0.15414     2.56326
  280    3720       256812    0.06166    0.00953    0.14068    0.30352     0.32873    0.14661     2.65482
The SAS System                                                                        11:01 Thursday, March 28, 2019   3

  Obs    rmsa     count       imm        mex      dropout       hs      somecoll    college    logwage2

  281    3760     805099    0.04491    0.01357    0.14533    0.30649     0.30500    0.15988     2.53320
  282    3840     396661    0.03898    0.01153    0.19278    0.33818     0.26485    0.13461     2.52064
  283    3980     276708    0.20753    0.01739    0.17668    0.28054     0.31525    0.15238     2.54551
  284    4000     222302    0.04694    0.00240    0.13792    0.37870     0.24377    0.14553     2.61426
  285    4040     270242    0.06436    0.00834    0.14240    0.30740     0.33365    0.13887     2.67145
  286    4120     937919    0.19762    0.10123    0.19997    0.27661     0.33584    0.12887     2.61034
  287    4280     204132    0.02412    0.00360    0.22151    0.34765     0.25068    0.10713     2.48758
  288    4400     255341    0.03712    0.01707    0.19389    0.36055     0.26973    0.12124     2.41317
  289    4480    5582148    0.34377    0.15488    0.23297    0.19843     0.30714    0.16940     2.68656
  290    4520     670455    0.02836    0.00797    0.19996    0.34945     0.26772    0.11060     2.51215
  291    4720     172269    0.04029    0.01268    0.12211    0.35076     0.29785    0.15803     2.60481
  292    4880     289233    0.19208    0.12394    0.23722    0.24613     0.28194    0.15821     2.52748
  293    4900     296641    0.20697    0.01734    0.18258    0.28027     0.30043    0.15346     2.54956
  294    4920     577128    0.03560    0.01057    0.19402    0.33275     0.27238    0.13367     2.51897
  295    5000    1204035    0.20721    0.01805    0.18119    0.27932     0.31425    0.14748     2.54141
  296    5015     715320    0.22922    0.01276    0.15310    0.28170     0.24809    0.20331     2.81729
  297    5080     564147    0.04357    0.01345    0.12096    0.33288     0.31235    0.16039     2.59522
  298    5120    1166371    0.06418    0.01174    0.09577    0.27382     0.34526    0.20341     2.66869
  299    5160     286874    0.02377    0.00784    0.21475    0.29841     0.29373    0.12239     2.49211
  300    5170     267225    0.33887    0.15309    0.23347    0.19659     0.31707    0.16103     2.66533
  301    5190     670925    0.22772    0.01277    0.14583    0.28730     0.24514    0.20965     2.82309
  302    5360     656038    0.03655    0.01115    0.19798    0.32835     0.26870    0.13544     2.50468
  303    5380    1660822    0.26024    0.01265    0.18224    0.26602     0.26299    0.16793     2.73043
  304    5480     327750    0.13723    0.00528    0.12661    0.27683     0.25778    0.19620     2.82997
  305    5560     705503    0.03575    0.00331    0.22177    0.33010     0.25609    0.12816     2.47025
  306    5600    4598146    0.25861    0.01187    0.18234    0.26761     0.26340    0.16704     2.72601
  307    5640    1211823    0.22308    0.01079    0.14717    0.28035     0.25445    0.20199     2.82259
  308    5720     861826    0.10596    0.00636    0.15482    0.26357     0.28349    0.18276     2.64031
  309    5775    1396471    0.34580    0.15523    0.23550    0.19933     0.30490    0.17120     2.68565
  310    5880     555977    0.05153    0.02291    0.16982    0.32318     0.30555    0.13734     2.43130
  311    5920     202993    0.05423    0.02204    0.11406    0.27997     0.36138    0.17607     2.47879
  312    5945    1735449    0.34090    0.15611    0.23305    0.19864     0.30864    0.16745     2.68515
  313    5960     933242    0.20611    0.01674    0.18717    0.26870     0.30931    0.15357     2.54516
  314    6080     245805    0.20637    0.01770    0.18780    0.27175     0.31974    0.14436     2.55069
  315    6160    2435552    0.10504    0.00531    0.14144    0.34126     0.24923    0.17207     2.68138
  316    6200    1852696    0.16433    0.10921    0.19867    0.22893     0.33640    0.15529     2.58066
  317    6280    1255248    0.05322    0.00341    0.13414    0.37677     0.24842    0.15115     2.61249
  318    6440    1056771    0.11232    0.04287    0.14289    0.24908     0.35215    0.17058     2.60779
  319    6480     735719    0.14418    0.00307    0.16051    0.27259     0.27232    0.18584     2.67572
  320    6640     725759    0.06945    0.02597    0.18068    0.28867     0.30034    0.15471     2.54162
  321    6760     582969    0.10099    0.00708    0.15553    0.26627     0.27346    0.18772     2.65236
  322    6780    1786816    0.34095    0.15496    0.23433    0.19908     0.30492    0.17034     2.68614
  323    6840     724945    0.25753    0.01346    0.18704    0.26114     0.26349    0.16822     2.72183
  324    6920     951575    0.34385    0.15636    0.23703    0.19787     0.30531    0.16782     2.68162
  325    7040    1251378    0.07226    0.02289    0.15296    0.31034     0.29449    0.15946     2.57603
  326    7160     587255    0.09872    0.04111    0.13332    0.23337     0.38987    0.16863     2.54819
  327    7240     789099    0.19061    0.12192    0.23525    0.24719     0.29085    0.15706     2.54755
  328    7320    1596574    0.34325    0.15364    0.23487    0.19790     0.30392    0.17305     2.68355
  329    7360     988822    0.34260    0.15736    0.23641    0.19976     0.30468    0.16749     2.68510
  330    7400     989246    0.34560    0.16105    0.23678    0.19744     0.30105    0.17431     2.68124
  331    7500     281475    0.34991    0.15692    0.24317    0.20049     0.29682    0.16978     2.68316
  332    7510     319229    0.21408    0.01677    0.18589    0.27846     0.31225    0.14555     2.54400
  333    7560     405899    0.05072    0.00202    0.13211    0.37274     0.25277    0.15126     2.60685
  334    7600    1248014    0.12880    0.03330    0.13369    0.23867     0.35312    0.18593     2.67385
  335    7840     240783    0.12539    0.03154    0.12642    0.24426     0.34686    0.18908     2.67867
  336    8000     338012    0.14858    0.00234    0.12689    0.25446     0.26706    0.21795     2.77591
The SAS System                                                                        11:01 Thursday, March 28, 2019   4

  Obs    rmsa     count       imm        mex      dropout       hs      somecoll    college    logwage2

  337    8120     341558    0.34142    0.15683    0.23687    0.19172     0.31208    0.17274     2.70014
  338    8160     539664    0.26032    0.01079    0.17860    0.26359     0.26727    0.16765     2.73010
  339    8200     435114    0.12326    0.03078    0.11945    0.24781     0.35221    0.18671     2.67199
  340    8280    1347359    0.20706    0.01603    0.18095    0.27831     0.30792    0.15198     2.55319
  341    8400     347277    0.03418    0.00286    0.14029    0.36323     0.27971    0.14277     2.58528
  342    8520     462862    0.16905    0.11353    0.20143    0.23425     0.33222    0.15237     2.56996
  343    8560     285201    0.05197    0.02250    0.16829    0.33031     0.29394    0.14280     2.43563
  344    8720     298856    0.34643    0.15303    0.23438    0.19988     0.30002    0.17342     2.66795
  345    8735     444678    0.34130    0.15345    0.22898    0.19945     0.30773    0.17208     2.69410
  346    8840    2914027    0.11815    0.00592    0.15375    0.26866     0.26650    0.18004     2.69628
  347    8960     653502    0.20764    0.01671    0.18012    0.27587     0.31356    0.14896     2.55048
  348    9040     262260    0.06665    0.03291    0.13085    0.27477     0.31161    0.19187     2.53448
  349    9160     355091    0.08604    0.01251    0.14317    0.29328     0.28683    0.16880     2.71588
  350    9240     315109    0.14863    0.00263    0.12001    0.26206     0.25419    0.21918     2.78352
  351    9320     336143    0.03759    0.00394    0.14706    0.35681     0.28695    0.13898     2.57728
