The SAS System                                                                        12:18 Thursday, March 28, 2019   1

Obs    order    year    native    male      count        educ       exp      dropout    collplus      emp       rwage

  1       1     1980       .        .      31401445    12.2677    19.2675    0.26432     0.16574    0.77214    21.3160
  2       2     1990       .        .     143379892    12.7294    19.1381    0.19851     0.21396    0.81423    20.5650
  3       3     2000       .        .     165101100    13.0308    20.4005    0.17535     0.24982    0.81078    22.6174
  4       4     1980       .        1      15367750    12.4361    18.7946    0.26828     0.19849    0.89980    25.0282
  5       5     1990       .        1      71230028    12.7960    18.7795    0.20702     0.23517    0.89045    23.6930
  6       6     2000       .        1      82558129    12.9954    20.1946    0.19051     0.25391    0.86779    25.4488
  7       7     1980       .        0      16033695    12.1063    19.7208    0.26052     0.13436    0.64978    16.7599
  8       8     1990       .        0      72149864    12.6636    19.4922    0.19011     0.19303    0.73898    17.0613
  9       9     2000       .        0      82542971    13.0663    20.6064    0.16019     0.24572    0.75376    19.4931
 10      10     1980       1        1      14314530    12.4979    18.7755    0.25988     0.19647    0.90160    25.0681
 11      11     1990       1        1      64052672    12.9506    18.8544    0.18624     0.23497    0.89258    23.9024
 12      12     2000       1        1      70482410    13.2338    20.4353    0.15557     0.25550    0.86826    25.8411
 13      13     1980       1        0      14873550    12.1931    19.6532    0.25045     0.13401    0.65367    16.7316
 14      14     1990       1        0      65092422    12.8230    19.4459    0.17013     0.19403    0.74857    17.0711
 15      15     2000       1        0      70992154    13.2916    20.7086    0.12878     0.24827    0.77101    19.5235
 16      16     1980       0        1       1053220    11.5965    19.0543    0.38240     0.22589    0.87530    24.4861
 17      17     1990       0        1       7177356    11.4161    18.1109    0.39248     0.23697    0.87141    21.8333
 18      18     2000       0        1      12075719    11.6036    18.7897    0.39445     0.24464    0.86506    23.2144
 19      19     1980       0        0       1160145    10.9932    20.5873    0.38962     0.13876    0.59999    17.1540
 20      20     1990       0        0       7057442    11.1930    19.9192    0.37441     0.18382    0.65054    16.9581
 21      21     2000       0        0      11550817    11.6813    19.9786    0.35322     0.23005    0.64773    19.2697
